가이드명,링크,비고,유형
방문자 가입 유도하는 말풍선 추가하기 👀,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71552,,디자인
쇼핑 위젯 / 쇼핑 기획전 위젯 차이점,https://imweb.me/faq?mode=view&category=29&category2=40&idx=1350,,쇼핑
텍스트 줄간격 고급 조절 방법,https://imweb.me/faq?mode=view&category=29&category2=38&idx=71806,,코딩
쇼핑 기획전 위젯 설정,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71624,,쇼핑
섹션 사이드 고정법,https://imweb.me/blog?idx=172,,디자인
API 설정 없이 구글 지도 삽입하기 📍,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71556,,디자인
특정 그룹에게만 보이는 VIP 메뉴 만들기,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71528,,쇼핑
💬 카카오톡 채널 커스텀 채팅 버튼 추가하기,https://imweb.me/faq?mode=view&category=29&category2=38&idx=71672,,코딩
상단 서브메뉴 스타일 변경하기,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71571,GNB의 서브메뉴 스타일을 변경할 수 있습니다.,디자인
쇼핑 위젯 설정,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71623,,쇼핑
" 상품 상세페이지 탭 메뉴 순서 변경하기",https://imweb.me/faq?mode=view&category=29&category2=40&idx=71696,,쇼핑
PC 하단 고정 섹션 구현하기 (ex. 뉴스레터 구독),https://imweb.me/faq?mode=view&category=29&category2=38&idx=71858,,코딩
예약 상품 진열하기,https://imweb.me/faq?mode=view&category=29&category2=41&idx=29587,예약 위젯을 사용합니다.,예약
상단/하단 이동 스크롤 버튼 만들기,https://imweb.me/faq?mode=view&category=29&category2=38&idx=71621,,코딩
주문서에 취소 버튼이 보이지 않을 경우,https://imweb.me/faq?mode=view&category=29&category2=40&idx=71859,,쇼핑
상품 진열 방식 4가지,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71742,,쇼핑
플로팅 배너 만들기 (모바일/PC),https://imweb.me/faq?mode=view&category=29&category2=38&idx=71277,,코딩
상품 상세페이지 디자인 변경하기,https://imweb.me/faq?mode=view&category=29&category2=33&idx=71687,상품 상세페이지는 커스터마이징 불가합니다. (A안 B안 C안 중 택1의 방식으로 가능),쇼핑
